user_id,is_gone
2,1
3,1
5,1
8,1
14,1
16,0
17,1
22,0
25,1
26,1
30,0
31,1
32,1
34,0
37,1
39,0
43,1
44,1
46,1
49,1
50,1
54,1
57,1
60,0
63,1
66,0
67,1
68,1
70,1
73,0
75,1
76,1
78,1
80,0
87,0
89,0
91,1
94,1
95,1
96,1
97,1
100,1
101,1
104,1
108,1
111,0
115,1
118,1
120,1
121,1
127,1
129,1
130,1
133,1
138,1
144,1
145,1
148,1
149,0
152,1
156,1
157,0
161,1
166,0
168,1
169,1
171,1
175,1
176,1
178,0
179,1
183,1
184,1
187,1
192,1
193,0
196,1
197,1
202,0
214,0
215,1
219,1
220,1
223,1
225,1
226,0
227,0
229,1
230,0
231,1
232,1
239,1
240,1
243,1
246,0
250,1
251,1
255,1
258,1
259,1
263,1
264,1
275,0
277,1
279,0
282,1
284,0
287,1
290,1
294,1
295,1
296,0
297,1
299,1
301,0
302,1
307,1
311,1
313,1
316,1
321,0
322,1
323,1
330,1
332,1
334,1
336,1
337,1
340,1
344,1
345,1
350,1
353,1
356,1
357,1
361,1
364,1
368,1
369,0
379,1
383,0
385,1
387,1
394,1
395,0
397,1
399,0
404,1
407,0
410,1
412,1
413,1
420,1
422,0
427,1
428,1
432,1
433,1
434,1
435,1
437,0
438,1
439,1
440,1
442,1
443,0
444,1
445,1
446,1
450,1
453,0
461,0
463,1
468,1
472,1
477,1
481,1
482,1
488,0
489,1
490,1
493,1
495,1
496,1
501,1
502,1
505,1
506,1
508,0
509,1
510,1
512,1
517,1
519,1
520,1
521,1
523,1
524,1
525,1
528,0
533,1
539,1
541,1
542,0
544,1
548,1
550,1
551,1
552,1
553,0
555,1
560,0
564,1
568,1
569,0
572,0
573,1
576,0
577,1
580,1
581,1
587,0
589,0
590,1
591,0
594,0
595,1
596,1
604,0
605,0
606,1
608,1
609,1
610,1
616,1
618,1
620,1
622,1
624,1
629,1
630,1
632,1
634,1
635,0
637,1
638,0
643,0
644,1
645,1
648,1
651,1
653,1
655,1
657,1
660,1
661,0
665,1
667,1
669,1
673,1
675,0
676,0
677,1
678,1
679,1
681,0
682,1
685,1
686,1
687,1
689,1
691,1
692,1
694,1
695,1
697,1
698,1
699,1
701,1
702,0
703,0
707,1
708,1
709,0
710,1
713,0
716,0
717,1
721,1
722,1
724,0
727,1
729,1
732,0
735,1
738,1
740,1
743,0
752,0
753,1
755,1
756,1
759,1
763,1
764,1
766,1
767,1
768,1
769,1
771,0
773,1
774,1
775,1
777,1
778,0
780,1
781,1
782,1
783,0
